Match,Result,Net Freq,Net W%
2026 Australian Open F,W vs Djokovic,9.40%,76.20%
2026 Australian Open R32,W vs Moutet,28.50%,66.00%
2025 Tour Finals F,L vs Sinner,10.70%,50.00%
2025 Tour Finals SF,W vs Auger Aliassime,13.90%,66.70%
2025 Tour Finals RR,W vs De Minaur,16.20%,71.40%
2025 Tour Finals RR,W vs Fritz,13.20%,93.80%
2025 Tour Finals RR,W vs Musetti,20.80%,95.50%
2025 Paris R32,L vs Norrie,17.60%,60.60%
2025 Tokyo F,W vs Fritz,9.30%,66.70%
2025 Tokyo SF,W vs Ruud,14.70%,64.00%
2025 Tokyo QF,W vs Nakashima,13.80%,73.30%
2025 Tokyo R16,W vs Bergs,13.40%,60.00%
2025 Tokyo R32,W vs Baez,11.80%,61.50%
2025 Us Open F,W vs Sinner,13.40%,81.50%
2025 Us Open SF,W vs Djokovic,7.70%,57.10%
2025 Us Open QF,W vs Lehecka,15.90%,76.00%
2025 Us Open R32,W vs Darderi,8.80%,76.90%
2025 Us Open R64,W vs Bellucci,11.30%,75.00%
2025 Us Open R128,W vs Opelka,4.80%,66.70%
2025 Cincinnati F,W vs Sinner,0.00%,0.00%
2025 Cincinnati SF,W vs Zverev,7.10%,87.50%
2025 Cincinnati R16,W vs Nardi,5.40%,83.30%
2025 Cincinnati R32,W vs Medjedovic,11.00%,46.70%
2025 Wimbledon F,L vs Sinner,8.00%,68.40%
2025 Wimbledon SF,W vs Fritz,15.00%,77.10%
2025 Wimbledon R64,W vs Tarvet,19.70%,61.80%
2025 Wimbledon R128,W vs Fognini,8.70%,71.00%
2025 Queen's Club F,W vs Lehecka,10.40%,78.90%
2025 Queen's Club SF,W vs Bautista Agut,17.70%,65.20%
2025 Queen's Club QF,W vs Rinderknech,6.10%,57.10%
2025 Queen's Club R16,W vs Munar,10.20%,73.10%
2025 Queen's Club R32,W vs Walton,8.20%,75.00%
2025 nd Garros F,W vs Sinner,8.10%,67.70%
2025 nd Garros SF,W vs Musetti,16.90%,77.40%
2025 nd Garros QF,W vs Paul,7.00%,90.00%
2025 nd Garros R16,W vs Shelton,14.00%,63.20%
2025 nd Garros R128,W vs Zeppieri,15.20%,80.80%
