Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,,,,,,
2026 Australian Open F,W vs Djokovic,4.3,4.5,4.1,49.60%,64.70%,41.70%,54.50%,,,,,,
2026 Australian Open R32,W vs Moutet,4.1,3.8,4.3,55.90%,57.50%,73.70%,61.50%,,,,,,
2025 Tour Finals F,L vs Sinner,3.9,3.7,4.1,46.20%,62.50%,53.80%,16.70%,,,,,,
2025 Tour Finals SF,W vs Auger Aliassime,3.4,3,3.8,60.90%,44.40%,85.70%,40.00%,,,,,,
2025 Tour Finals RR,W vs De Minaur,4.5,4.1,5,52.20%,50.00%,60.90%,66.70%,,,,,,
2025 Tour Finals RR,W vs Fritz,3.6,3.8,3.4,51.70%,56.10%,47.10%,50.00%,,,,,,
2025 Tour Finals RR,W vs Musetti,3.8,4,3.6,54.50%,78.30%,63.60%,33.30%,,,,,,
2025 Paris R32,L vs Norrie,3.7,3.6,3.9,49.10%,41.70%,53.80%,25.00%,,,,,,
2025 Tokyo F,W vs Fritz,3.8,4.1,3.6,50.60%,65.50%,53.30%,37.50%,,,,,,
2025 Tokyo SF,W vs Ruud,3.2,3.2,3.2,46.40%,57.10%,69.20%,60.00%,,,,,,
2025 Tokyo QF,W vs Nakashima,4,4,4,50.00%,69.20%,71.40%,71.40%,,,,,,
2025 Tokyo R16,W vs Bergs,3.2,3.3,3.1,55.90%,45.90%,80.00%,50.00%,,,,,,
2025 Tokyo R32,W vs Baez,3.9,3.4,4.4,54.80%,53.60%,63.60%,44.40%,,,,,,
2025 Us Open F,W vs Sinner,3.8,3.5,4.1,55.90%,55.80%,61.50%,50.00%,,,,,,
2025 Us Open SF,W vs Djokovic,3.8,3.5,4,56.90%,55.80%,47.80%,57.10%,,,,,,
2025 Us Open QF,W vs Lehecka,3.8,3.6,4,54.70%,63.60%,47.10%,91.70%,,,,,,
2025 Us Open R32,W vs Darderi,3.5,3.3,3.6,66.70%,57.10%,62.50%,16.70%,,,,,,
2025 Us Open R64,W vs Bellucci,3.6,3,4,62.80%,65.50%,56.30%,70.00%,,,,,,
2025 Us Open R128,W vs Opelka,2.5,2.3,2.7,54.20%,69.70%,60.00%,0.00%,,,,,,
2025 Cincinnati F,W vs Sinner,3.3,3.6,3,72.20%,83.30%,75.00%,0.00%,,,,,,
2025 Cincinnati SF,W vs Zverev,3.7,3.1,4.2,53.30%,65.00%,85.70%,70.00%,,,,,,
2025 Cincinnati R16,W vs Nardi,3.5,3.2,3.7,60.00%,66.70%,30.00%,50.00%,,,,,,
2025 Cincinnati R32,W vs Medjedovic,2.5,2.8,2.2,56.60%,45.00%,50.00%,50.00%,,,,,,
2025 Wimbledon F,L vs Sinner,3.5,3.3,3.8,49.30%,35.40%,44.40%,76.90%,,,,,,
2025 Wimbledon SF,W vs Fritz,2.7,2.8,2.7,50.00%,58.10%,61.50%,62.50%,,,,,,
2025 Wimbledon R64,W vs Tarvet,4.6,4.2,5,63.20%,40.90%,66.70%,61.90%,,,,,,
2025 Wimbledon R128,W vs Fognini,3.4,3,3.8,52.60%,46.90%,54.30%,66.70%,,,,,,
2025 Queen's Club F,W vs Lehecka,2.8,2.4,3,57.00%,61.10%,22.20%,100.00%,,,,,,
2025 Queen's Club SF,W vs Bautista Agut,3.6,2.9,4.1,59.50%,53.10%,55.60%,40.00%,,,,,,
2025 Queen's Club QF,W vs Rinderknech,2.5,2.9,2.1,48.20%,70.00%,62.50%,100.00%,,,,,,
2025 Queen's Club R16,W vs Munar,3.6,3.6,3.5,49.40%,62.30%,48.40%,57.10%,,,,,,
2025 Queen's Club R32,W vs Walton,3.3,2.6,3.9,54.60%,56.70%,53.80%,42.90%,,,,,,
2025 nd Garros F,W vs Sinner,4.5,4.1,4.9,45.60%,55.80%,50.90%,54.30%,,,,,,
2025 nd Garros SF,W vs Musetti,4.4,4.4,4.5,51.60%,68.00%,55.20%,53.80%,,,,,,
2025 nd Garros QF,W vs Paul,4.1,3.5,4.4,63.00%,84.80%,23.50%,72.70%,,,,,,
2025 nd Garros R16,W vs Shelton,3.9,4,3.8,51.60%,52.50%,41.40%,65.00%,,,,,,
2025 nd Garros R128,W vs Zeppieri,4.1,3.7,4.4,55.10%,61.50%,68.20%,41.70%,,,,,,
2025 Rome F,W vs Sinner,4.2,3.9,4.7,52.60%,62.50%,55.00%,61.50%,,,,,,
2025 Rome SF,W vs Musetti,3.9,3.8,3.9,51.10%,57.80%,66.70%,30.00%,,,,,,
2025 Rome QF,W vs Draper,4.2,4.3,4.1,58.00%,60.00%,36.40%,41.70%,,,,,,
2025 Rome R64,W vs Lajovic,4.3,3.8,4.6,51.60%,63.60%,50.00%,66.70%,,,,,,
2025 Barcelona F,L vs Rune,5.1,4.2,5.9,54.70%,23.10%,42.90%,55.60%,,,,,,
2025 Barcelona SF,W vs Fils,4,4.2,3.8,58.10%,60.90%,68.80%,37.50%,,,,,,
2025 Barcelona R16,W vs Djere,3.5,2.9,4.1,57.90%,70.40%,44.40%,66.70%,,,,,,
2025 Monte Carlo F,W vs Musetti,3.8,3.1,4.7,55.70%,54.50%,68.40%,75.00%,,,,,,
2025 Monte Carlo SF,W vs Davidovich Fokina,4.3,4.2,4.4,53.30%,56.00%,50.00%,50.00%,,,,,,
2025 Monte Carlo QF,W vs Fils,3.7,3.6,3.8,54.50%,54.20%,30.40%,70.00%,,,,,,
